t_s,v_in,v_out
0.0,0.0,0.0
5.001250312578145e-05,0.0,0.0
0.0001000250062515629,0.0,0.0
0.00015003750937734434,0.0,0.0
0.0002000500125031258,0.0,0.0
0.00025006251562890725,0.0,0.0
0.0003000750187546887,0.0,0.0
0.00035008752188047017,0.0,0.0
0.0004001000250062516,0.0,0.0
0.000450112528132033,0.0,0.0
0.0005001250312578145,0.0,0.0
0.000550137534383596,0.0,0.0
0.0006001500375093774,0.0,0.0
0.0006501625406351588,0.0,0.0
0.0007001750437609403,0.0,0.0
0.0007501875468867217,0.0,0.0
0.0008002000500125032,0.0,0.0
0.0008502125531382847,0.0,0.0
0.000900225056264066,0.0,0.0
0.0009502375593898475,0.0,0.0
0.001000250062515629,0.0,0.0
0.0010502625656414104,0.0,0.0
0.001100275068767192,0.0,0.0
0.0011502875718929734,0.0,0.0
0.0012003000750187547,0.0,0.0
0.0012503125781445363,0.0,0.0
0.0013003250812703177,0.0,0.0
0.001350337584396099,0.0,0.0
0.0014003500875218807,0.0,0.0
0.001450362590647662,0.0,0.0
0.0015003750937734434,0.0,0.0
0.001550387596899225,0.0,0.0
0.0016004001000250064,0.0,0.0
0.0016504126031507878,0.0,0.0
0.0017004251062765693,0.0,0.0
0.0017504376094023507,0.0,0.0
0.001800450112528132,0.0,0.0
0.0018504626156539137,0.0,0.0
0.001900475118779695,0.0,0.0
0.0019504876219054764,0.0,0.0
0.002000500125031258,0.0,0.0
0.0020505126281570394,0.0,0.0
0.0021005251312828208,0.0,0.0
0.002150537634408602,0.0,0.0
0.002200550137534384,0.0,0.0
0.0022505626406601653,0.0,0.0
0.0023005751437859467,0.0,0.0
0.002350587646911728,0.0,0.0
0.0024006001500375095,0.0,0.0
0.002450612653163291,0.0,0.0
0.0025006251562890726,0.0,0.0
0.002550637659414854,0.0,0.0
0.0026006501625406354,0.0,0.0
0.0026506626656664168,0.0,0.0
0.002700675168792198,0.0,0.0
0.0027506876719179795,0.0,0.0
0.0028007001750437613,0.0,0.0
0.0028507126781695427,0.0,0.0
0.002900725181295324,0.0,0.0
0.0029507376844211054,0.0,0.0
0.003000750187546887,0.0,0.0
0.003050762690672668,0.0,0.0
0.00310077519379845,0.0,0.0
0.0031507876969242314,0.0,0.0
0.0032008002000500128,0.0,0.0
0.003250812703175794,0.0,0.0
0.0033008252063015755,0.0,0.0
0.0033508377094273573,0.0,0.0
0.0034008502125531387,0.0,0.0
0.00345086271567892,0.0,0.0
0.0035008752188047014,0.0,0.0
0.003550887721930483,0.0,0.0
0.003600900225056264,0.0,0.0
0.003650912728182046,0.0,0.0
0.0037009252313078274,0.0,0.0
0.0037509377344336087,0.0,0.0
0.00380095023755939,0.0,0.0
0.0038509627406851715,0.0,0.0
0.003900975243810953,0.0,0.0
0.003950987746936734,0.0,0.0
0.004001000250062516,0.0,0.0
0.004051012753188297,0.0,0.0
0.004101025256314079,0.0,0.0
0.004151037759439861,0.0,0.0
0.0042010502625656415,0.0,0.0
0.004251062765691423,0.0,0.0
0.004301075268817204,0.0,0.0
0.004351087771942986,0.0,0.0
0.004401100275068768,0.0,0.0
0.004451112778194549,0.0,0.0
0.004501125281320331,0.0,0.0
0.004551137784446112,0.0,0.0
0.004601150287571893,0.0,0.0
0.004651162790697674,0.0,0.0
0.004701175293823456,0.0,0.0
0.004751187796949238,0.0,0.0
0.004801200300075019,0.0,0.0
0.004851212803200801,0.0,0.0
0.004901225306326582,0.0,0.0
0.0049512378094523635,0.0,0.0
0.005001250312578145,0.0,0.0
0.005051262815703926,0.0,0.0
0.005101275318829708,0.0,0.0
0.005151287821955489,0.0,0.0
0.005201300325081271,0.0,0.0
0.005251312828207053,0.0,0.0
0.0053013253313328335,0.0,0.0
0.005351337834458615,0.0,0.0
0.005401350337584396,0.0,0.0
0.005451362840710178,0.0,0.0
0.005501375343835959,0.0,0.0
0.005551387846961741,0.0,0.0
0.005601400350087523,0.0,0.0
0.005651412853213304,0.0,0.0
0.005701425356339085,0.0,0.0
0.005751437859464866,0.0,0.0
0.005801450362590648,0.0,0.0
0.00585146286571643,0.0,0.0
0.005901475368842211,0.0,0.0
0.005951487871967993,0.0,0.0
0.006001500375093774,0.0,0.0
0.0060515128782195554,0.0,0.0
0.006101525381345336,0.0,0.0
0.006151537884471118,0.0,0.0
0.0062015503875969,0.0,0.0
0.006251562890722681,0.0,0.0
0.006301575393848463,0.0,0.0
0.006351587896974244,0.0,0.0
